Entry	Entry Name	Protein names	Organism	Length	Gene Ontology (molecular function)	Function [CC]	Gene Names
A0A0K2S4Q6	CD3CH_HUMAN	Protein CD300H (CD300 antigen-like family member H)	Homo sapiens (Human)	201		FUNCTION: May play an important role in innate immunity by mediating a signal for the production of a neutrophil chemoattractant. {ECO:0000269|PubMed:26221034}.	CD300H
A0AVI4	TM129_HUMAN	E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)	Homo sapiens (Human)	362	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	FUNCTION: E3 ubiquitin-protein ligase involved in ER-associated protein degradation, preferentially associates with the E2 enzyme UBE2J2. Exploited by viral US11 proteins to mediate HLA class I proteins degradation. {ECO:0000269|PubMed:24807418}.	TMEM129
A0JLT2	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	Homo sapiens (Human)	244	transcription coregulator activity [GO:0003712]	FUNCTION: Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.	MED19 LCMR1
A0PK00	T120B_HUMAN	Transmembrane protein 120B	Homo sapiens (Human)	339		FUNCTION: Necessary for efficient adipogenesis. Does not show ion channel activity. {ECO:0000250|UniProtKB:Q3TA38}.	TMEM120B
A0PK11	CLRN2_HUMAN	Clarin-2	Homo sapiens (Human)	232		FUNCTION: Plays a key role to hearing function. Required for normal organization and maintenance of the stereocilia bundle and for mechano-electrical transduction. {ECO:0000250|UniProtKB:B2RVW2}.	CLRN2
A1A519	F170A_HUMAN	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	Homo sapiens (Human)	330	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	FUNCTION: Acts as a nuclear transcription factor that positively regulates the expression of heat shock genes. Binds to heat shock promoter elements (HSE). {ECO:0000269|PubMed:20162441}.	FAM170A ZNFD
A1E959	ODAM_HUMAN	Odontogenic ameloblast-associated protein (Apin)	Homo sapiens (Human)	279		FUNCTION: Tooth-associated epithelia protein that probably plays a role in odontogenesis, the complex process that results in the initiation and generation of the tooth. May be incorporated in the enamel matrix at the end of mineralization process. Involved in the induction of RHOA activity via interaction with ARHGEF and expression of downstream factors such as ROCK. Plays a role in attachment of the junctional epithelium to the tooth surface. {ECO:0000269|PubMed:25911094}.	ODAM APIN
A1L3X0	ELOV7_HUMAN	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	Homo sapiens (Human)	281	fatty acid elongase activity [GO:0009922]	FUNCTION: Catalyzes the first and rate-limiting reaction of the four reactions that constitute the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids (VLCFAs) per cycle. Condensing enzyme with higher activity toward C18 acyl-CoAs, especially C18:3(n-3) acyl-CoAs and C18:3(n-6)-CoAs. Also active toward C20:4-, C18:0-, C18:1-, C18:2- and C16:0-CoAs, and weakly toward C20:0-CoA. Little or no activity toward C22:0-, C24:0-, or C26:0-CoAs. May participate in the production of saturated and polyunsaturated VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators. {ECO:0000255|HAMAP-Rule:MF_03207, ECO:0000269|PubMed:19826053, ECO:0000269|PubMed:20937905, ECO:0000269|PubMed:21959040, ECO:0000269|PubMed:34117479}.	ELOVL7
A1XBS5	CBAR1_HUMAN	CBY1-interacting BAR domain-containing protein 1	Homo sapiens (Human)	289	phospholipid binding [GO:0005543]	FUNCTION: Acts as a positive regulator of ciliary hedgehog signaling (By similarity). Probable regulator of ciliogenesis involved in limb morphogenesis (PubMed:27528616, PubMed:30395363). In cooperation with CBY1 it is involved in the recruitment and fusion of endosomal vesicles at distal appendages during early stages of ciliogenesis (PubMed:27528616, PubMed:30395363). Plays an important role in the mitochondrial function and is essential for maintaining mitochondrial morphology and inner membrane ultrastructure (PubMed:30404948). In vitro, can generate membrane curvature through preferential interaction with negatively charged phospholipids such as phosphatidylinositol 4,5-bisphosphate and cardiolipin and hence orchestrate cristae shape (PubMed:30404948). {ECO:0000250|UniProtKB:Q8BP22, ECO:0000269|PubMed:27528616, ECO:0000269|PubMed:30395363, ECO:0000269|PubMed:30404948}.	CIBAR1 FAM92A FAM92A1
A2RU49	HYKK_HUMAN	Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)	Homo sapiens (Human)	373	amino acid kinase activity [GO:0019202]; hydroxylysine kinase activity [GO:0047992]	FUNCTION: Catalyzes the GTP-dependent phosphorylation of 5-hydroxy-L-lysine. {ECO:0000269|PubMed:22241472}.	HYKK AGPHD1
